"interapofisarias","interapofisárias"
"interapofisario","interapofisário"
"intercarpicas","intercárpicas"
"intercorrencia","intercorrência"
"intercorrencias","intercorrências"
"interfacetaria","interfacetária"
"interfacetarias","interfacetárias"
"interfacetarios","interfacetários"
"interfalangica","interfalângica"
"interfalangicas","interfalângicas"
"interhemisferica","interhemisférica"
"intermedia","intermédia"
"intermedio","intermédio"
"intermetatarsicas","intermetatársicas"
"intermetatarsico","intermetatársico"
"interossea","interóssea"
"interosseos","interósseos"
"interposiçao","interposição"
"interrogaçao","interrogação"
"intersomatica","intersomática"
"intersomaticas","intersomáticas"
"intersomatico","intersomático"
"intersomaticos","intersomáticos"
"intersticio","interstício"
"intervençao","intervenção"
"intima","íntima"
"intolerancia","intolerância"
"intra-hepaticas","intra-hepáticas"
"intra-orbitaria","intra-orbitária"
"intracarpicas","intracárpicas"
"intrahepatica","intrahepática"
"intrahepaticas","intrahepáticas"
"intraossea","intraóssea"
"intraosseo","intraósseo"
"intrasomatica","intrasomática"
"intrasomaticas","intrasomáticas"
"intrasomatico","intrasomático"
"intrasomaticos","intrasomáticos"
"intrasubstancia","intrasubstância"
"intrinsecas","intrínsecas"
"intrinsecos","intrínsecos"
"introduçao","introdução"
"inumeras","inúmeras"
"inumeros","inúmeros"
"invasao","invasão"
"inversao","inversão"
"investigaçao","investigação"
"involuçao","involução"
"irradiaçao","irradiação"
"isoecogeneo","isoecogéneo"
"isoecogenica","isoecogénica"
"isoecogenicas","isoecogénicas"
"isoecogenico","isoecogénico"
"isoecogenicos","isoecogénicos"
"isquemica","isquémica"
"isquemicas","isquémicas"
"isquemico","isquémico"
"isquemicos","isquémicos"
"isquiatica","isquiática"
"isquiaticas","isquiáticas"
"isquio-pubico","ísquio-púbico"
"isquio-pubicos","ísquio-púbicos"
"isquio-tibiais","ísquio-tibiais"
"istmica","ístmica"
"ja","já"
"jugulo-carotidea","jugulo-carotídea"
"jugulo-carotideos","jugulo-carotídeos"
"junçao","junção"
"junçoes","junções"
"justificavel","justificável"
"keros","KEROS"
"labiaçao","labiação"
"labiaçoes","labiações"
"labio","lábio"
"labirintica","labiríntica"
"laceraçao","laceração"
"laceraçoes","lacerações"
"lamina","lâmina"
"laminas","lâminas"
"latero","látero"
"latero-aorticas","látero-aórticas"
"latero-basal","látero-basal"
"lentificaçao","lentificação"
"lesao","lesão"
"lesoes","lesões"
"limitaçao","limitação"
"limitaçoes","limitações"
"limitrofes","limítrofes"
"linfaticas","linfáticas"
"linfatico","linfático"
"linfaticos","linfáticos"
"lingua","língua"
"lingula","língula"
"liquida","líquida"
"liquidas","líquidas"
"liquido","líquido"
"liquor","líquor"
"listesico","listésico"
"listesicos","listésicos"
"litiase","litíase"
"litiasica","litiásica"
"litiasicas","litiásicas"
"litiasico","litiásico"
"litiasicos","litiásicos"
"litica","lítica"
"liticas","líticas"
"lobulaçao","lobulação"
"lobulaçoes","lobulações"
"localizaçao","localização"
"loculaçao","loculação"
"lombalizaçao","lombalização"
"lordotica","lordótica"
"lowshout","washout"
"lucencia","lucência"
"lumen","lúmen"
"luteo","lúteo"
"luxaçao","luxação"
"luxaçoes","luxações"
"macronodulos","macronódulos"
"macroscopica","macroscópica"
"magnetica","magnética"
"maleolo","maléolo"
"malformaçao","malformação"
"malformaçoes","malformações"
"mamaria","mamária"
"mamarias","mamárias"
"mamario","mamário"
"mamarios","mamários"
"mamograficas","mamográficas"
"mamografico","mamográfico"
"mandibula","mandíbula"
"manifestaçao","manifestação"
"manifestaçoes","manifestações"
"manipulaçao","manipulação"
"mantem","mantêm"
"manubrio","manúbrio"
"manutençao","manutenção"
"mao","mão"
"maos","mãos"
"marcaçao","marcação"
"maxima","máxima"
"maximas","máximas"
"maximo","máximo"
"maximos","máximos"
"mecanica","mecânica"
"mecanico","mecânico"
"mecanicos","mecânicos"
"media","média"
"medias","médias"
"mediastinica","mediastínica"
"mediastinicas","mediastínicas"
"mediastinicos","mediastínicos"
"medica","médica"
"medicaçao","medicação"
"medico","médico"
"medio","médio"
"medio-clavicular","médio-clavicular"
"medio-lateral","médio-lateral"
"mediope","médiopé"
"medios","médios"
"mediçoes","medições"
"megaapofise","megaapófise"
"memoria","memória"
"mensuraveis","mensuráveis"
"mes","mês"
"mesenterica","mesentérica"
"mesentericas","mesentéricas"
"mesenterio","mesentério"
"mesocolon","mesocólon"
"metabolica","metabólica"
"metabolicas","metabólicas"
"metabolico","metabólico"
"metacarpica","metacárpica"
"metacarpo-falangica","metacarpo-falângica"
"metadiafisaria","metadiafisária"
"metafisaria","metafisária"
"metafise","metáfise"
"metalica","metálica"
"metalicas","metálicas"
"metalico","metálico"
"metalicos","metálicos"
"metarso-falangicas","metarso-falângicas"
"metastase","metástase"
"metastaticos","metastáticos"
"metastizaçao","metastização"
"metatarsicas","metatársicas"
"metatarso-falangica","metatarso-falângica"
"metatarso-falangicas","metatarso-falângicas"
"metodo","método"
"metodos","métodos"
"meyerding","Meyerding"
"microangiopatica","microangiopática"
"microcalcificaçao","microcalcificação"
"microcalcificaçoes","microcalcificações"
"microcalculo","microcálculo"
"microcalculos","microcálculos"
"microlitiase","microlítiase"
"micronodulo","micronódulo"
"micronodulos","micronódulos"
"micropolipos","micropólipos"
"micropoliquisticos","micropoliquísticos"
"microquistica","microquística"
"microquisticas","microquísticas"
"microscopica","microscópica"
"micçao","micção"
"migraçao","migração"
"milimetrica","milimétrica"
"milimetricas","milimétricas"
"milimetrico","milimétrico"
"milimetricos","milimétricos"
"mineralizaçao","mineralização"
"minima","mínima"
"minimas","mínimas"
"minimo","mínimo"
"minuscula","minúscula"
"minusculas","minúsculas"
"minusculo","minúsculo"
"minusculos","minúsculos"
"minímos","mínimos"
"miometrio","miométrio"
"mobilizavel","mobilizável"
"modic","Modic"
"modificaçao","modificação"
"moleculas","moléculas"
"morfologica","morfológica"
